pmid,title,authors,journal,year,doi,url,abstract
40989248,"Eribulin plus Pyrotinib in Trastuzumab-Resistant, HER2-Positive Advanced Breast Cancer: A Single-Arm, Multicenter Phase II Trial (EPIC Trial).","['Ruoyang Li', 'Meiqi Wang', 'Xiangshun Kong', 'Jie Ma', 'Xiuheng Qi', 'Zhenchuan Song']","Drug design, development and therapy",2025,10.2147/DDDT.S547569,https://pubmed.ncbi.nlm.nih.gov/40989248/,"This study aimed to assess the efficacy and safety of combining Eribulin with Pyrotinib in patients diagnosed with advanced HER2-positive breast cancer and exhibiting resistance to trastuzumab. This subgroup of patients typically faces a bleak clinical prognosis with limited guidance available for treatment decisions. Patients (N=30) with HER2-positive metastatic breast cancer, ECOG 0-1, and prior trastuzumab/taxane therapy received oral Pyrotinib 400 mg daily and intravenous Eribulin 1.4 mg/m² (days 1/8 of 21-day cycles for 6 cycles), followed by Pyrotinib until progression/intolerable toxicity. The primary endpoint was progression-free survival (PFS). Between February 2021 and September 2023, 30 patients were enrolled in the study, with a median age of 57 years. All patients had previously received treatment with trastuzumab and taxanes. As of April 14, 2025, the median follow-up duration was 26 months. 18 patients experienced disease progression or death. The median progression-free survival (PFS) was 13.47 months (95% confidence interval [CI], 8.17-16.27), with a 12-month PFS rate of 61.7% (95% CI, 44.2%-86.0%). 12-month overall survival (OS) rate of 75.3% (95% CI 66.2-84.4). The objective response rate was 56.7% (17/30). The disease control rate (DCR) reached 80.0% (24/30), while the clinical benefit rate (CBR) was 73.3% (22/30). The median overall survival was not reached. Any adverse event (AE) of any grade with an incidence of more than 30% was Neutropenia (73.3%), diarrhea (70%), nausea/vomiting (66.7%), Peripheral neuropathy (63.3%), AST/ALT increased (43.3%), Anorexia (33.3%). There were no treatment-related deaths. The combination of Eribulin and Pyrotinib emerges as a viable treatment option for HER2-positive advanced breast cancer patients who have exhibited resistance to trastuzumab. Despite advancements in anti-HER2 therapies, further research is required to address remaining challenges in this specific clinical scenario."
40988963,Incidental Ovarian Vein Thrombosis During Breast Cancer Therapy With Tamoxifen and Trastuzumab.,"['Jorge Illarramendi', 'Susana Mauleon', 'Helena Sarasibar', 'Jose Juan Illarramendi']",Cureus,2025,10.7759/cureus.92955,https://pubmed.ncbi.nlm.nih.gov/40988963/,"Ovarian vein thrombosis (OVT) is an unusual presentation of venous thromboembolic disease. Incidental asymptomatic appearance of OVT is a recognized complication of gynecologic cancer surgery, but published information on incidental OVT during targeted therapy of cancer with hormone therapy and/or monoclonal antibodies is scarce. We present the case of a 41-year-old woman who had a diagnosis of asymptomatic right OVT during the adjuvant treatment of breast cancer with tamoxifen plus trastuzumab. Clinical evolution in this case was favorable without anticoagulant therapy, with confirmed thrombus resolution and without further events. Available literature on this topic is limited, but some data indicate that anticoagulation is also a valuable option to consider, according to potential advantages and risks, on an individual basis."
40984893,Treatment Outcomes of HER2-Directed Therapy in Patients With HER2-Positive Non-metastatic Breast Cancer in Low-Resource Settings.,"['Maryam Imran', 'Muhammad Awais Majeed', 'Sameen Bin Naeem', 'Muhammad Ahsan Jamil', 'Minahil Shahzad', 'Fatima Akhtar', 'Amna Karim', 'Aftab Ahmad', 'Shehar Bano', 'Beenish Aqib', 'Syed Abdullah Javaid Bukhari']",Cureus,2025,10.7759/cureus.90634,https://pubmed.ncbi.nlm.nih.gov/40984893/,"Introduction This study aimed to evaluate treatment outcomes of human epidermal growth factor receptor 2 (HER2)-directed therapies in patients with non-metastatic HER2-positive breast cancer treated in a low-resource setting. Specifically, we assessed the impact of dual blockade (trastuzumab and pertuzumab), trastuzumab alone, or no HER2-targeted therapy on rates of residual disease, pathological complete response (pCR), progression-free survival (PFS), and overall survival (OS). Methods We conducted a retrospective cohort study at Shaukat Khanum Memorial Cancer Hospital, including 299 patients with non-metastatic HER2-positive breast cancer treated with neoadjuvant chemotherapy and either dual HER2 blockade, trastuzumab alone, or no HER2-targeted therapy due to financial constraints. Patient demographics, clinical features, treatments, and outcomes were analyzed using descriptive statistics, chi-square tests, and Kaplan-Meier survival analysis. Results The median age at diagnosis was 45.7 years (standard deviation±8.9). A majority of patients were premenopausal (n=222; 74.2%), and the majority presented with a palpable lump (n=275; 91.9%). Tumors were mainly located in the left (n=149; 49.8%) or right breast (n=147; 49.2%), with bilateral involvement in 3 (1.0%) cases. Invasive ductal carcinoma was the predominant histology (n=275; 91.9%), with estrogen receptor and progesterone receptor positivity observed in 185 (61.9%) and 179 (59.9%) patients, respectively. Grade III tumors were observed in 156 (52.2%) cases, and most tumors were T2 stage (n=236; 78.9%) with axillary nodal involvement in 232 (77.6%). Patients receiving dual HER2 blockade achieved a pCR in 45 (54.9%) of 82 cases, compared to 51 (45.9%) of 111 with trastuzumab alone, and 39 (36.8%) of 106 with no HER2 therapy (p=0.046). The docetaxel, carboplatin, trastuzumab, and pertuzumab (TCHP) regimen had the highest pCR rate in 19 (65.5%) of 29 patients (p<0.001). Grade III tumors were associated with higher pCR than Grade II (n=96; 56.5% vs. n=39; 30.2%; p<0.001). At 60 months, PFS was 236 (79.0%) overall, highest in the dual blockade group (n=73; 89.0%), followed by trastuzumab (n=96; 86.5%) and no HER2 therapy (n=69; 65.1%). OS at 60 months was 271 (90.6%), highest in the dual blockade group (n=78; 95.1%), then trastuzumab (n=102; 91.9%) and no HER2 therapy (n=79; 74.5%). Achieving pCR was associated with improved PFS and OS. Differences in both outcomes across groups were statistically significant (p<0.001). Conclusion Dual HER2 blockade significantly improved pCR, PFS, and OS in non-metastatic HER2-positive breast cancer. These findings support the inclusion of HER2-targeted agents in standard neoadjuvant treatment, even in resource-limited settings. Addressing barriers to access remains essential to improving global outcomes in breast cancer care."
40983817,Advances in the intrinsic signaling pathway interactions and clinical translation of HR+/HER2+ breast cancer.,"['Xinyu Li', 'Tao Huang']","Breast cancer (Tokyo, Japan)",2025,10.1007/s12282-025-01779-3,https://pubmed.ncbi.nlm.nih.gov/40983817/,"Hormone receptor-positive (HR +) and HER2-positive (HER2+) breast cancers represent a biologically unique subset of breast malignancies characterized by the co-expression of estrogen receptors (ER), progesterone receptors (PR), and human epidermal growth factor receptor 2 (HER2). These cancers exhibit distinct molecular features, often leading to aggressive growth and higher recurrence rates. HR+/HER2+ breast cancer cells can utilize estrogen and HER2-driven signaling pathways to promote proliferation, survival, and metastatic potential, presenting unique challenges and opportunities for treatment. The current therapeutic strategies focus on a combination of endocrine therapies, such as selective estrogen receptor modulators (e.g., tamoxifen) or aromatase inhibitors, with HER2-targeted therapies like trastuzumab, pertuzumab, or tyrosine kinase inhibitors, to concurrently inhibit both hormone and HER2-driven pathways. Despite initial treatment efficacy, resistance often develops through various mechanisms, including mutations in the PIK3CA gene, cross-talk between ER and HER2 signaling, and activation of alternative growth pathways. Ongoing research aims to improve patient outcomes by exploring novel combination therapies, including CDK4/6 inhibitors and PI3K/AKT/mTOR pathway inhibitors, and by targeting resistance pathways. This review highlights the molecular basis, treatment approaches, and emerging therapeutic strategies in HR+/HER2+ breast cancer, emphasizing the need for personalized and adaptive treatment strategies in managing this complex disease subtype."
40982170,Efficacy and Safety of Dual Therapy with HER2-inhibitors (Pertuzumab and Trastuzumab) in Gastric or Gastroesophageal Tumors: A Systematic Review and Meta-analysis.,"['Geraldo Lucas Lopes Costa', 'João Victor Ramos da Cruz', 'José Roberto Alves', 'Saint Clair Vieira de Oliveira', 'Leticia Vieira Dos Santos Ribeiro', 'Arthur Henrique Gohr', 'Daniella Serafin Couto Vieira']",Journal of gastrointestinal cancer,2025,10.1007/s12029-025-01310-z,https://pubmed.ncbi.nlm.nih.gov/40982170/,"The benefit of adding dual HER2 inhibition with Pertuzumab (P) and Trastuzumab (T) to chemotherapy (cT) in HER2-positive gastric or gastroesophageal junction (GEJ) cancer is not yet fully elucidated. A systematic search of PubMed, Cochrane Central, Embase, Web of Science, SciELO, and LILACS identified clinical trials investigating adjuvant or neoadjuvant regimens combining (P), (T) and (cT). Hazard ratios (HRs) and odds ratios (ORs) for binary endpoints were calculated, with 95% confidence intervals (CIs). Four clinical trials comprising a total of 1,225 patients were included. Dual HER2 blockade plus (cT) showed a significant benefit in survival analysis (HR 0.77, 95% CI 0.69-0.86), especially in terms of overall survival (HR 0.78, 95% CI 0.61-0.99) and progression-free survival (HR 0.73, 95% CI 0.62-0.85). Pathological response rates were higher compared with (cT) alone (OR 1.62, 95% CI 0.98-2.66). Treatment was associated with an increased overall adverse event rate (OR 1.48, 95% CI 1.32-1.66), particularly any-grade diarrhea, hypokalemia, fatigue, and pulmonary infection. Serious adverse events, including deaths and complications, were not significantly different (OR 0.87, 95% CI 0.51-1.49). This systematic review and meta-analysis of clinical trials demonstrates that adding (P), (T) and (cT) improves survival and pathological response in HER2-positive gastric and GEJ tumors, with a manageable safety profile."
40979420,Isolated splenic metastasis presenting at diagnosis of HER2-positive de novo metastatic breast cancer: a case report.,"['Maika Yoshioka', 'Masafumi Shimoda', 'Kaori Abe', 'Nanae Masunaga', 'Masami Tsukabe', 'Tetsuhiro Yoshinami', 'Yoshiaki Sota', 'Tomohiro Miyake', 'Tomonori Tanei', 'Kenzo Shimazu']",Journal of surgical case reports,2025,10.1093/jscr/rjaf751,https://pubmed.ncbi.nlm.nih.gov/40979420/,"Splenic metastasis is uncommon, and truly isolated splenic metastasis (ISM) from breast cancer is a clinical rarity. Contemporary autopsy series reports splenic involvement in <1% of breast cancer-related deaths, and fewer than 15 well-documented ISM cases have been published. We report a 71-year-old woman presenting with a right-breast mass, regional lymphadenopathy, and a solitary splenic lesion detected on staging computed tomography (CT) and positron emission tomography-CT. Biopsy confirmed hormone receptor-negative, HER2-positive invasive ductal carcinoma. Six cycles of docetaxel, trastuzumab, and pertuzumab led to a 59% reduction in the primary tumour and complete radiological resolution of the splenic lesion. The patient remains progression-free 22 months after initiating therapy, maintained on trastuzumab and pertuzumab. Although extremely rare, ISM can present as the initial manifestation of de novo metastatic breast cancer. Awareness of this possibility may facilitate early systemic therapy and obviate the need for diagnostic splenectomy."
40976668,Canadian real-world hybrid longitudinal cohort study of treatment discontinuations and modifications for patients with HER2+ and HER2-low metastatic breast cancer on trastuzumab deruxtecan enrolled in a patient support programme: the HER-TEMPO study protocol.,"['Christine Brezden-Masley', 'Rana Qadeer', 'Zhor Senhaji Mouhri', 'Bianca Salvo', 'Nicolle Bonar', 'Paul Spin', 'Simran Shokar']",BMJ open,2025,10.1136/bmjopen-2025-100889,https://pubmed.ncbi.nlm.nih.gov/40976668/,"In current clinical practice, breast cancer is treated according to hormone receptor and human epidermal growth receptor 2 expression (HER2) status, which play an important role in disease management and overall prognosis. Trastuzumab deruxtecan (T-DXd) has been studied in multiple global prospective DESTINY-breast trials. Recent marketing authorisation for T-DXd has been granted from Health Canada for HER2-positive breast cancer who have received prior treatment with trastuzumab emtansine, or at least one prior anti-HER2-based regimen in the metastatic setting, or who have received a prior anti-HER2-based regimen in the neoadjuvant or adjuvant setting and developed disease recurrence during or within 6 months of completing neoadjuvant or adjuvant therapy. T-DXd is also indicated for HER2-low unresectable and/or metastatic breast cancer (mBC) patients who have received at least one prior line of chemotherapy in the metastatic setting or developed disease recurrence during or within 6 months of completing adjuvant chemotherapy. However, there is a paucity of evidence assessing T-DXd in the real-world setting. As such, the overarching aim of this study is to generate Canadian real-world evidence on discontinuations and treatment modifications for patients with HER2+ and HER2-low mBC undergoing treatment with T-DXd. This is a hybrid, longitudinal cohort study design leveraging patient support programme (PSP) secondary data with additional primary data collection to assess study treatment-related outcomes among patients with HER2+ and HER2-low mBC receiving treatment with T-DXd. Mainly, this study will leverage secondary data from the PSP, which will include clinical and demographic characteristics as well as duration, modification and intensity of treatment information for patients while enrolled in the PSP. These data will be supplemented with primary data, which will be collected via a patient questionnaire and include additional self-reported clinical and demographic characteristics not captured within the PSP, including follow-up data on therapies received, treatment discontinuation information after the PSP closure and frequency of CT scans and cardiac monitoring scans. The study protocol was approved by the Advarra Institutional Review Board on 13 December 2023 (ID: D133HR00037). Findings will be disseminated by publication in peer-reviewed journals, through oral and poster presentations for various audiences, websites and scientific meetings. Written informed consent will be obtained from all patients prior to agreeing to participate in this study. Participant recruitment for primary data collection began on 22 April 2024 and was completed on 8 October 2024. Primary data collection for follow-up will continue through up to 12 months after the date of the last enrolment. NCT06386263."
40973900,Hormone Receptor Expression and QT interval at Baseline Correlate with Trastuzumab Associated Cardiotoxicity in HER2- Positive Breast Cancer Patients: A Prospective Study.,"['Dana Abo Samra', 'Ibrahem Hanafi', 'Dani Abo Samra', 'Ahmad Naeem', 'Assef Dayyoub']",Cardiovascular toxicology,2025,10.1007/s12012-025-10059-7,https://pubmed.ncbi.nlm.nih.gov/40973900/,"Trastuzumab is a common and effective therapeutic choice for breast cancer treatment. However, the cardiotoxicity induced by this therapy remains a significant challenge, because we lack predictors that help avoid allocating some patients with high risk to this management plan. This study was aimed to evaluate several baseline risk factors such as prolonged QTc interval, age, and lower expression level of estrogen and progesterone receptors that might predict cardiac toxicity after Trastuzumab therapy. This prospective observational study was conducted in Al-Bairouni Hospital at Damascus University. Patients were evaluated with echocardiography and electrocardiography before therapy and three weeks after the last administration of the fourth cycle. A significant Trastuzumab-related cardiotoxicity was determined by a 5% or more reduction in the left ventricular ejection fraction after excluding all other potential causes. A total number of 140 patients with breast cancer, who were indicated Trastuzumab therapy, were recruited for this study. Thirty of them (21.4%) developed Trastuzumab-related cardiotoxicity but all were asymptomatic. Corrected QT interval of more than 450 ms and lower expression level of estrogen and progesterone receptors at baseline were associated with higher susceptibility to develop Trastuzumab-related cardiotoxicity (P = 0.045, P = 0.004, and P = 0.042, respectively). Of note, preexisting cardiac morbidities, age, and chemotherapy accompanying Trastuzumab administration did not reach significant association with cardiotoxicity. Breast cancer patients with prolonged corrected QT interval or lower expression levels of hormone receptors are at a higher risk of developing Trastuzumab-related cardiotoxicity, necessitating careful administration of the therapy."
40972494,"Synthesis and evaluation of HOPO-O 8 -Methyl-tetrazine as a bifunctional chelator for use in [ 89 Zr]Zr 4+ , [ 161 Tb]Tb 3+ and [ 227 Th]Th 4+ radioimmunoconjugates.","['Imma Carbo-Bague', 'Parmissa Randhawa', 'Marianna Tosato', 'Brooke L McNeil', 'Milena Čolović', 'Lucas London', 'Cristina Rodríguez-Rodríguez', 'Maryam Osooly', 'Luke Wharton', 'Helen Merkens', 'Michiel Van De Voorde', 'Maarten Ooms', 'Hua Yang', 'François Bénard', 'Caterina F Ramogida']",Journal of inorganic biochemistry,2025,10.1016/j.jinorgbio.2025.113077,https://pubmed.ncbi.nlm.nih.gov/40972494/,"The growing availability of new radiometals with favorable decay properties for cancer diagnosis and therapy highlights the need for chelators that can stably bind a variety of metal ions. 1-Hydroxy-2(1H)-pyridinones (1,2-HOPOs) are effective bidentate ligands with strong affinity for trivalent and tetravalent metals. In this study, we developed a bifunctional octadentate 1,2-HOPO chelator with a methyl tetrazine (Me-Tz) moiety, HOPO-O 8 -Me-Tz, and evaluated its coordination to [ 89 Zr]Zr 4+ , [ 161 Tb]Tb 3+ , and [ 227 Th]Th 4+ for theranostic applications. HOPO-O 8 -Me-Tz was conjugated to HER2/neu targeting antibody Trastuzumab (Tmab), modified with transcyclooctene (TCO), using the inverse electron demand Diels-Alder (IEDDA) click reaction to yield HOPO-O 8 -Tmab. Radiolabeled conjugates were synthesized under mild conditions (30 min, ambient temperature) and evaluated in vitro and in vivo in SKOV-3 tumour-bearing nude mice. All radiometal complexes demonstrated high stability in serum over 7 days. In vivo, [ 89 Zr]Zr-, [ 161 Tb]Tb- and [ 227 Th]Th-HOPO-O 8 -Tmab showed high tumour uptake (9.87 ± 3.57, 11.29 ± 4.14 and 19.40 ± 5.40 %ID/g, respectively). Notably, [ 161 Tb]Tb- and [ 227 Th]Th-conjugates exhibited low bone uptake at 96 h post-injection, indicating excellent in vivo stability. The potential redistribution of the alpha-emitting daughter nuclide [ 223 Ra]Ra 2+ from [ 227 Th]Th-HOPO-O 8 -Tmab was assessed, revealing elevated 223 Ra in the bone and joint. These findings underscore the promise of HOPO-O 8 -Me-Tz as a versatile bifunctional chelator for next-generation theranostic radioimmunoconjugates, while also highlighting the importance of managing daughter radionuclide redistribution in alpha therapy."
,Cardioprotective interventions for cancer patients receiving anthracyclines,"['EC Van Dalen', 'LCM Kremer']",Cochrane Database of Systematic Reviews,2002,10.1002/14651858.cd003917,https://doi.org/10.1002/14651858.cd003917,
,Cardioprotective interventions for cancer patients receiving anthracyclines,"['EC van Dalen', 'HN Caron', 'HO Dickinson', 'LCM Kremer']",The Cochrane Database of Systematic Reviews,2005,10.1002/14651858.cd003917.pub2,https://doi.org/10.1002/14651858.cd003917.pub2,
,Cardioprotective interventions for cancer patients receiving anthracyclines,"['Elvira C van Dalen', 'Huib N Caron', 'Heather O Dickinson', 'Leontien CM Kremer']",Cochrane Database of Systematic Reviews,2008,10.1002/14651858.cd003917.pub3,https://doi.org/10.1002/14651858.cd003917.pub3,
,Baseline cardiac function checkup in patients with gastric or breast cancer receiving trastuzumab or anthracyclines,"['Taisuke Ishii', 'Tomone Watanabe', 'Takahiro Higashi']",Cancer Medicine,2022,10.1002/cam4.4929,https://doi.org/10.1002/cam4.4929,
,Cardioprotective interventions for cancer patients receiving anthracyclines,"['Elvira C van Dalen', 'Huib N Caron', 'Heather O Dickinson', 'Leontien CM Kremer']",Cochrane Database of Systematic Reviews,2011,10.1002/14651858.cd003917.pub4,https://doi.org/10.1002/14651858.cd003917.pub4,
,Cardioprotective effects of Platycodon grandiflorum Granules in HER2-positive early breast cancer patients receiving Trastuzumab plus Pertuzumab: study protocol for a double blind randomized controlled trial,"['Wei Hao', 'Chenping Sun', 'Chunyu Wu', 'Youyang Shi', 'Yuenong Qin', 'Sheng Liu']",,2024,10.21203/rs.3.rs-4423878/v1,https://doi.org/10.21203/rs.3.rs-4423878/v1,
,Cardiac Monitoring of Patients Receiving Anthracyclines,['M. R. Bristow'],Anthracycline Antibiotics in Cancer Therapy,1982,10.1007/978-94-009-7630-6_31,https://doi.org/10.1007/978-94-009-7630-6_31,
,An Exploration of Heart Failure Risk in Breast Cancer Patients Receiving Anthracyclines with or without Trastuzumab in Thailand: A Retrospective Study,"['Jukapun Yoodee', 'Aumkhae Sookprasert', 'Phitjira Sanguanboonyaphong', 'Suthan Chanthawong', 'Manit Seateaw', 'Suphat Subongkot']",Clinics and Practice,2021,10.3390/clinpract11030064,https://doi.org/10.3390/clinpract11030064,
,Changes in Epicardial Adipose Tissue Assessed by Chest CT in Breast Cancer Patients Receiving Adjuvant Chemotherapy with Anthracyclines and Trastuzumab,"['Yuyao Liu', 'Tingjian Zhang', 'Xiao Huang', 'Li Shen', 'Quan Yang']",Reviews in Cardiovascular Medicine,2024,10.31083/j.rcm2507254,https://doi.org/10.31083/j.rcm2507254,
,Cardioprotective role of statins in breast cancer patients treated with anthracyclines and/or trastuzumab: a systematic review and meta-analysis,"['S S P Lingamsetty', 'M Kritya', 'W Huang', 'S R Fatima', 'D M Gewehr', 'M Doma', 'S H Pastrana', 'M Hemdanieh', 'Z Naji', 'K Kuhar', 'F Martignoni']",European Heart Journal,2024,10.1093/eurheartj/ehae666.3218,https://doi.org/10.1093/eurheartj/ehae666.3218,
,Cardioprotective effect and safety of dexrazoxane in all breast cancer stages in patients treated with anthracyclines with or without trastuzumab: A systematic review and meta-analysis.,"['Ariane Macedo', 'Angelica Nogueira Rodrigues', 'Rafael Brant Costa', 'Antonio Luiz Pinho Ribeiro']",Journal of Clinical Oncology,2018,10.1200/jco.2018.36.15_suppl.10072,https://doi.org/10.1200/jco.2018.36.15_suppl.10072,
,Meta-analysis Evaluating the Use of Statins to attenuate Cardiotoxicity in Cancer Patients receiving Anthracyclines and Trastuzumab-based Chemotherapy,"['Izza Shahid', 'Naser Yamani', 'Abraish Ali', 'Pankaj Kumar', 'Vincent Figueredo', 'Samuel Unzek', 'Farouk Mookadam']",The American Journal of Cardiology,2021,10.1016/j.amjcard.2021.07.001,https://doi.org/10.1016/j.amjcard.2021.07.001,
,Evaluating the role of dexrazoxane as a cardioprotectant in cancer patients receiving anthracyclines,['Pierre Pouillart'],Cancer Treatment Reviews,2004,10.1016/j.ctrv.2004.06.002,https://doi.org/10.1016/j.ctrv.2004.06.002,
,Left Ventricular Dysfunction in Breast Cancer Patients Receiving Trastuzumab: An Observational Study in a Cohort of Iraqi Breast Cancer Patients,[],University of Thi-Qar Journal of Medicine,2019,10.32792/utq/utjmed/15/1/9,https://doi.org/10.32792/utq/utjmed/15/1/9,
,Anthracyclines and Trastuzumab-induced Cardiotoxicity in Breast Cancer Patients: Testing a Clinical Risk Score in the First Cardio-Oncology Unit in Morocco,[],Cardiology and Vascular Medicine,2021,10.33425/2768-0436.1002,https://doi.org/10.33425/2768-0436.1002,
,,[],,2021,10.3030/945118,https://doi.org/10.3030/945118,
,Cardioprotective role of β-blockers and angiotensin antagonists in early-onset anthracyclines-induced cardiotoxicity in adult patients: a systematic review and meta-analysis,"['Seongseok Yun', 'Nicole D Vincelette', 'Ivo Abraham']",Postgraduate Medical Journal,2015,10.1136/postgradmedj-2015-133535,https://doi.org/10.1136/postgradmedj-2015-133535,
,Regional myocardial edema detected by T2 mapping is a feature of cardiotoxicity in breast cancer patients receiving sequential therapy with anthracyclines and trastuzumab,"['Paaladinesh Thavendiranathan', 'Eitan Amir', 'Philippe Bedard', 'Andrew Crean', 'Narinder Paul', 'Elsie T Nguyen', 'Bernd J Wintersperger']",Journal of Cardiovascular Magnetic Resonance,2014,10.1186/1532-429x-16-s1-p273,https://doi.org/10.1186/1532-429x-16-s1-p273,
,The identification of ketotifen as a novel cardioprotective agent in patients undergoing anthracyclines chemotherapy,"['hosny elewa', 'Naser elberay', 'Walaa Keshk', 'Hamada Abulkhair']",,2021,10.22541/au.161278751.19764242/v1,https://doi.org/10.22541/au.161278751.19764242/v1,
,The role of cardio-protective agents in cardio-preservation in breast cancer patients receiving Anthracyclines ± Trastuzumab: a Meta-analysis of clinical studies,"['Hagar Elghazawy', 'Bhanu Prasad Venkatesulu', 'Vivek Verma', 'Bala Pushparaji', 'Dominique J. Monlezun', 'Konstantinos Marmagkiolis', 'Cezar A. Iliescu']",Critical Reviews in Oncology/Hematology,2020,10.1016/j.critrevonc.2020.103006,https://doi.org/10.1016/j.critrevonc.2020.103006,
